data_size,epochs,total_time,mse
40,22,3.109630823135376,0.6799439100298754
50,26,3.1555745601654053,0.5722277041762994
60,25,3.1057369709014893,1.1981284369935348
70,44,5.2632269859313965,0.14851499543736138
80,25,3.0643954277038574,0.02631141050844004
90,21,2.646662950515747,0.09005486144857779
100,11,1.590749979019165,0.09597744966499785
110,20,2.5755600929260254,0.03178568561044574
120,14,2.106106996536255,0.06337687788923571
130,24,3.035457134246826,0.051311624926609796
140,18,2.401397705078125,0.04880560279190276
150,20,2.592592716217041,0.04722453190300726
160,13,1.7102465629577637,0.07200959710277914
170,12,1.7504923343658447,0.06844027900902079
180,25,3.464433431625366,0.05187749955887279
190,28,3.516831398010254,0.07442167928269028
200,11,1.6173014640808105,0.06291141064398069
40,25,3.452234983444214,1.2621930145646876
50,34,3.950556516647339,0.667013255951802
60,41,4.817185640335083,0.1615431493859943
70,42,5.022508382797241,0.022651780824211907
80,16,2.0946288108825684,0.041777879373008905
90,22,2.7465693950653076,0.03770737872100123
100,11,1.5509121417999268,0.06169259439538459
110,18,2.342707872390747,0.04659948513274934
120,24,3.210261106491089,0.037838439268087616
130,29,3.553412437438965,0.06352536363043629
140,21,2.683619976043701,0.04502972529488096
150,23,2.904202938079834,0.04441950475704888
160,16,1.986785650253296,0.06285169123061948
170,24,3.0872349739074707,0.07971346153046635
180,12,1.9453089237213135,0.04309277346852698
190,16,2.199594020843506,0.03904693345068518
200,16,2.182680606842041,0.03799963183168498
40,18,2.626338243484497,0.5223550536257202
50,37,4.259883403778076,1.795476648834299
60,24,3.0688884258270264,0.23676964789004537
70,47,5.412623882293701,0.026189291585184682
80,61,6.8853371143341064,0.06034745329381155
90,23,2.823697566986084,0.04650405494418186
100,33,3.8991949558258057,0.08886425387061907
110,22,2.9403905868530273,0.06074940615499942
120,43,5.061599016189575,0.05110230032557942
130,21,2.640507936477661,0.04791311933499656
140,29,3.502194881439209,0.042893271876017706
150,13,1.8002862930297852,0.06580419096475007
160,18,2.195389747619629,0.12982614268683748
170,16,2.387938976287842,0.0637786008503165
180,20,2.595731019973755,0.0507332330909156
190,23,2.949894666671753,0.0678883412686502
200,13,1.818758487701416,0.05804396303112589
40,31,4.018097639083862,1.2429348040748374
50,29,3.448377847671509,0.49440647881069155
60,18,2.29818058013916,0.22334159335405038
70,29,3.6076290607452393,0.03558265175215704
80,45,5.210062742233276,0.03694101519914172
90,29,3.4786131381988525,0.03487645124028845
100,14,1.8942146301269531,0.05563275823692393
110,17,2.243328332901001,0.03726272228902052
120,22,2.9760639667510986,0.03959216512332482
130,13,1.8203985691070557,0.03498850322587612
140,16,2.1359786987304688,0.06842237464081455
150,13,1.8036153316497803,0.050061971738699564
160,19,2.318953514099121,0.06085205685543983
170,18,2.397606134414673,0.06362105483464282
180,14,2.176151752471924,0.055535092424919184
190,19,2.5270233154296875,0.05585278817890144
200,11,1.6193292140960693,0.056455521621310865
40,27,3.553460121154785,0.7913082308440873
50,27,3.1956889629364014,0.8503086732789195
60,37,4.32048773765564,0.5403864058459941
70,20,2.6324448585510254,0.021160059812554217
80,29,3.4710381031036377,0.0385724691504651
90,18,2.30216383934021,0.03521198981769887
100,29,3.476496458053589,0.05416402103556994
110,22,2.756181240081787,0.039019473730236544
120,19,2.636216163635254,0.053217076004193176
130,19,2.4316437244415283,0.06826464472876083
140,35,4.180882692337036,0.04603532651980564
150,14,1.905684232711792,0.0348696502115956
160,21,2.510200023651123,0.08781994861374474
170,16,2.4014668464660645,0.051599623456581485
180,18,2.4082913398742676,0.07893236434631208
190,13,1.8176445960998535,0.055544788315908866
200,11,1.6002283096313477,0.054005953150146266
40,37,4.59581446647644,0.5185526081028703
50,56,6.236415386199951,0.1604701259953939
60,52,6.060000658035278,0.2600314158604224
70,42,4.855059385299683,0.05351932266262162
80,23,2.8218750953674316,0.05539398950432984
90,11,1.5523781776428223,0.03354426615005198
100,32,3.9614343643188477,0.06150898647567127
110,17,2.2256147861480713,0.09079182550426686
120,13,1.7815821170806885,0.03244175624551519
130,27,3.3045623302459717,0.05373300115688365
140,20,2.551147699356079,0.08193036188439436
150,29,3.517869710922241,0.09129672509925223
160,20,2.5834577083587646,0.05166377612659001
170,17,2.272812843322754,0.04670341146767226
180,14,1.9498040676116943,0.05428879866788974
190,20,2.604245662689209,0.09801617428749422
