lstm_units,run,mse
16,1,0.0036743858998000613
16,2,0.008653879360857522
16,3,0.003349910547631201
16,4,0.0027405784899521926
16,5,0.009580325425424963
16,6,0.009207403093755577
16,7,0.004219673522981374
16,8,0.0029375076890721923
16,9,0.0062593085015341995
16,10,0.003000636850060751
32,1,0.006544916804747448
32,2,0.007206725754288507
32,3,0.007373390714490338
32,4,0.0022769488986776965
32,5,0.0028714362941041614
32,6,0.002224250613048881
32,7,0.002844107902980246
32,8,0.002166104975425561
32,9,0.003465081015757063
32,10,0.004983110186109046
48,1,0.0025418311214004344
48,2,0.0028373134289466904
48,3,0.00470130606121001
48,4,0.004455907355879914
48,5,0.005209868962185228
48,6,0.0012185646823421011
48,7,0.003321500840346602
48,8,0.0016064936784264325
48,9,0.0014396612305974288
48,10,0.003940187290319144
64,1,0.0020446983032778514
64,2,0.002012129558719136
64,3,0.0024805816322629294
64,4,0.003958854128274368
64,5,0.002104327516406788
64,6,0.002975193504403324
64,7,0.0102658041101501
64,8,0.0053807643390778115
64,9,0.0030672083712295923
64,10,0.003942623871032588
80,1,0.003170125087789151
80,2,0.002872978780024289
80,3,0.0029661319839802973
80,4,0.004663704445869898
80,5,0.0056237400913029595
80,6,0.0027195655564381687
80,7,0.0021985168054350227
80,8,0.0015943345044844687
80,9,0.003530808255926971
80,10,0.0019729864078896313
96,1,0.0010396911715669346
96,2,0.001390517713055985
96,3,0.0021049896310891747
96,4,0.0013494955719166918
96,5,0.0008501043129044427
96,6,0.0026750643277496673
96,7,0.005387223977748186
96,8,0.005272151243499381
96,9,0.005399211093009133
96,10,0.003232381687027873
128,1,0.00318380591490817
128,2,0.0045027857173621745
128,3,0.0035851255818733284
128,4,0.004322252033500913
128,5,0.007808968385291545
128,6,0.007208418282142119
128,7,0.005107479903417456
128,8,0.005752077318649707
128,9,0.0015337301926519786
128,10,0.002658448639452498
