lstm_units,run,mse
16,1,0.007973310311327681
16,2,0.005412153157025018
16,3,0.0024609835645394225
16,4,0.0070078056363905945
16,5,0.006073620544850486
16,6,0.007002202602070339
16,7,0.0008310043022716654
16,8,0.0007425130651685675
16,9,0.006242753246533044
16,10,0.0007769296917816954
32,1,0.0006613238159325351
32,2,0.012783190976545013
32,3,0.005180113836789688
32,4,0.00567828335755212
32,5,0.0006496198906558749
32,6,0.003547609690164482
32,7,0.0009716657538932484
32,8,0.0027898820679643785
32,9,0.001367708548612172
32,10,0.004329334576186763
48,1,0.0007514572057571843
48,2,0.003956416533838855
48,3,0.0013575089064127017
48,4,0.002166119860444238
48,5,0.005376951809022809
48,6,0.001949700517565295
48,7,0.003163904807807054
48,8,0.0007307096405425527
48,9,0.008005685376050294
48,10,0.010009381552329727
64,1,0.0039029827962074565
64,2,0.006019809458820103
64,3,0.005710093149284683
64,4,0.0029545026461090165
64,5,0.0023286955791086187
64,6,0.005562739968449743
64,7,0.0027657468994879506
64,8,0.0010377136340974052
64,9,0.008906007241460772
64,10,0.002788177380558953
80,1,0.0099748304824269
80,2,0.0016931662712219115
80,3,0.008608024214113661
80,4,0.012141411640635745
80,5,0.004450262455960506
80,6,0.0030057597126019286
80,7,0.004096642916398996
80,8,0.008026082650160164
80,9,0.005144255197070684
80,10,0.0075204674974167
96,1,0.00681884547501867
96,2,0.004425099374756224
96,3,0.0023206605475278876
96,4,0.006441422676900325
96,5,0.005248896548034742
96,6,0.01677481391674592
96,7,0.003632860782484922
96,8,0.0025019743452050058
96,9,0.006139839496139412
96,10,0.0032878785668977112
128,1,0.009883067930967182
128,2,0.005972878573257468
128,3,0.006416674519457762
128,4,0.007864966118088035
128,5,0.018376219609548883
128,6,0.0029579103905514443
128,7,0.006074217274459434
128,8,0.010967388264504049
128,9,0.010000456136189807
128,10,0.007983774105366935
