lstm_units,run,mse
16,1,0.005543352761093214
16,2,0.00480570687135708
16,3,0.004699130551339992
16,4,0.00924294846653369
16,5,0.0068379222733501825
16,6,0.007216938056028574
16,7,0.005781871484362492
16,8,0.013657359697658822
16,9,0.0057162439469736126
16,10,0.009170598493608077
32,1,0.007942318644415474
32,2,0.009925242987025048
32,3,0.007227345088228811
32,4,0.006085226122103779
32,5,0.009085528549396739
32,6,0.007052196730023647
32,7,0.008698753791627432
32,8,0.008525544774552687
32,9,0.007203314284968771
32,10,0.011711631361337179
48,1,0.006606217233634177
48,2,0.007044711287162031
48,3,0.005525534019098754
48,4,0.006510755283392394
48,5,0.005669939660267875
48,6,0.006969546278041697
48,7,0.006958450278937581
48,8,0.00888498467443125
48,9,0.007403528277897844
48,10,0.007356196804282666
64,1,0.010364512433266172
64,2,0.010038123786416376
64,3,0.006052746706158013
64,4,0.006053508789331657
64,5,0.006799364387181109
64,6,0.006693302487912916
64,7,0.007254070049830269
64,8,0.006776454604018266
64,9,0.00728588152378751
64,10,0.005688720306299616
80,1,0.008800173375196804
80,2,0.006726752754196084
80,3,0.006447489073563806
80,4,0.007862440728272973
80,5,0.0052652230094307655
80,6,0.0055383038766516485
80,7,0.006231541441468441
80,8,0.007053233506230727
80,9,0.006096902783035113
80,10,0.010456201070918606
96,1,0.005941261324645365
96,2,0.011373446360330004
96,3,0.006429203988673334
96,4,0.007455149410722859
96,5,0.007497162784163405
96,6,0.00563471583523496
96,7,0.0075113781874117744
96,8,0.005691265020196092
96,9,0.007747119908630655
96,10,0.0068973202587332
128,1,0.008495217818916777
128,2,0.010995649964313582
128,3,0.007624704661852489
128,4,0.00915510779877137
128,5,0.007896907283407086
128,6,0.00760408947735214
128,7,0.011346340969390306
128,8,0.007454319285999334
128,9,0.008157113222821975
128,10,0.0077237185510266185
